location,date,new_deaths_smoothed,people_vaccinated
Brazil,2020-01-05,,
Brazil,2020-01-06,,
Brazil,2020-01-07,,
Brazil,2020-01-08,,
Brazil,2020-01-09,,
Brazil,2020-01-10,0.0,
Brazil,2020-01-11,0.0,
Brazil,2020-01-12,0.0,
Brazil,2020-01-13,0.0,
Brazil,2020-01-14,0.0,
Brazil,2020-01-15,0.0,
Brazil,2020-01-16,0.0,
Brazil,2020-01-17,0.0,
Brazil,2020-01-18,0.0,
Brazil,2020-01-19,0.0,
Brazil,2020-01-20,0.0,
Brazil,2020-01-21,0.0,
Brazil,2020-01-22,0.0,
Brazil,2020-01-23,0.0,
Brazil,2020-01-24,0.0,
Brazil,2020-01-25,0.0,
Brazil,2020-01-26,0.0,
Brazil,2020-01-27,0.0,
Brazil,2020-01-28,0.0,
Brazil,2020-01-29,0.0,
Brazil,2020-01-30,0.0,
Brazil,2020-01-31,0.0,
Brazil,2020-02-01,0.0,
Brazil,2020-02-02,0.0,
Brazil,2020-02-03,0.0,
Brazil,2020-02-04,0.0,
Brazil,2020-02-05,0.0,
Brazil,2020-02-06,0.0,
Brazil,2020-02-07,0.0,
Brazil,2020-02-08,0.0,
Brazil,2020-02-09,0.0,
Brazil,2020-02-10,0.0,
Brazil,2020-02-11,0.0,
Brazil,2020-02-12,0.0,
Brazil,2020-02-13,0.0,
Brazil,2020-02-14,0.0,
Brazil,2020-02-15,0.0,
Brazil,2020-02-16,0.0,
Brazil,2020-02-17,0.0,
Brazil,2020-02-18,0.0,
Brazil,2020-02-19,0.0,
Brazil,2020-02-20,0.0,
Brazil,2020-02-21,0.0,
Brazil,2020-02-22,0.0,
Brazil,2020-02-23,0.0,
Brazil,2020-02-24,0.0,
Brazil,2020-02-25,0.0,
Brazil,2020-02-26,0.0,
Brazil,2020-02-27,0.0,
Brazil,2020-02-28,0.0,
Brazil,2020-02-29,0.0,
Brazil,2020-03-01,0.0,
Brazil,2020-03-02,0.0,
Brazil,2020-03-03,0.0,
Brazil,2020-03-04,0.0,
Brazil,2020-03-05,0.0,
Brazil,2020-03-06,0.0,
Brazil,2020-03-07,0.0,
Brazil,2020-03-08,0.0,
Brazil,2020-03-09,0.0,
Brazil,2020-03-10,0.0,
Brazil,2020-03-11,0.0,
Brazil,2020-03-12,0.0,
Brazil,2020-03-13,0.0,
Brazil,2020-03-14,0.0,
Brazil,2020-03-15,0.0,
Brazil,2020-03-16,0.0,
Brazil,2020-03-17,0.0,
Brazil,2020-03-18,0.0,
Brazil,2020-03-19,0.0,
Brazil,2020-03-20,0.0,
Brazil,2020-03-21,0.0,
Brazil,2020-03-22,1.57,
Brazil,2020-03-23,1.57,
Brazil,2020-03-24,1.57,
Brazil,2020-03-25,1.57,
Brazil,2020-03-26,1.57,
Brazil,2020-03-27,1.57,
Brazil,2020-03-28,1.57,
Brazil,2020-03-29,11.57,
Brazil,2020-03-30,11.57,
Brazil,2020-03-31,11.57,
Brazil,2020-04-01,11.57,
Brazil,2020-04-02,11.57,
Brazil,2020-04-03,11.57,
Brazil,2020-04-04,11.57,
Brazil,2020-04-05,38.14,
Brazil,2020-04-06,38.14,
Brazil,2020-04-07,38.14,
Brazil,2020-04-08,38.14,
Brazil,2020-04-09,38.14,
Brazil,2020-04-10,38.14,
Brazil,2020-04-11,38.14,
Brazil,2020-04-12,99.57,
Brazil,2020-04-13,99.57,
Brazil,2020-04-14,99.57,
Brazil,2020-04-15,99.57,
Brazil,2020-04-16,99.57,
Brazil,2020-04-17,99.57,
Brazil,2020-04-18,99.57,
Brazil,2020-04-19,155.0,
Brazil,2020-04-20,155.0,
Brazil,2020-04-21,155.0,
Brazil,2020-04-22,155.0,
Brazil,2020-04-23,155.0,
Brazil,2020-04-24,155.0,
Brazil,2020-04-25,155.0,
Brazil,2020-04-26,218.43,
Brazil,2020-04-27,218.43,
Brazil,2020-04-28,218.43,
Brazil,2020-04-29,218.43,
Brazil,2020-04-30,218.43,
Brazil,2020-05-01,218.43,
Brazil,2020-05-02,218.43,
Brazil,2020-05-03,379.86,
Brazil,2020-05-04,379.86,
Brazil,2020-05-05,379.86,
Brazil,2020-05-06,379.86,
Brazil,2020-05-07,379.86,
Brazil,2020-05-08,379.86,
Brazil,2020-05-09,379.86,
Brazil,2020-05-10,509.71,
Brazil,2020-05-11,509.71,
Brazil,2020-05-12,509.71,
Brazil,2020-05-13,509.71,
Brazil,2020-05-14,509.71,
Brazil,2020-05-15,509.71,
Brazil,2020-05-16,509.71,
Brazil,2020-05-17,702.86,
Brazil,2020-05-18,702.86,
Brazil,2020-05-19,702.86,
Brazil,2020-05-20,702.86,
Brazil,2020-05-21,702.86,
Brazil,2020-05-22,702.86,
Brazil,2020-05-23,702.86,
Brazil,2020-05-24,890.14,
Brazil,2020-05-25,890.14,
Brazil,2020-05-26,890.14,
Brazil,2020-05-27,890.14,
Brazil,2020-05-28,890.14,
Brazil,2020-05-29,890.14,
Brazil,2020-05-30,890.14,
Brazil,2020-05-31,975.71,
Brazil,2020-06-01,975.71,
Brazil,2020-06-02,975.71,
Brazil,2020-06-03,975.71,
Brazil,2020-06-04,975.71,
Brazil,2020-06-05,975.71,
Brazil,2020-06-06,975.71,
Brazil,2020-06-07,1021.14,
Brazil,2020-06-08,1021.14,
Brazil,2020-06-09,1021.14,
Brazil,2020-06-10,1021.14,
Brazil,2020-06-11,1021.14,
Brazil,2020-06-12,1021.14,
Brazil,2020-06-13,1021.14,
Brazil,2020-06-14,971.71,
Brazil,2020-06-15,971.71,
Brazil,2020-06-16,971.71,
Brazil,2020-06-17,971.71,
Brazil,2020-06-18,971.71,
Brazil,2020-06-19,971.71,
Brazil,2020-06-20,971.71,
Brazil,2020-06-21,1018.0,
Brazil,2020-06-22,1018.0,
Brazil,2020-06-23,1018.0,
Brazil,2020-06-24,1018.0,
Brazil,2020-06-25,1018.0,
Brazil,2020-06-26,1018.0,
Brazil,2020-06-27,1018.0,
Brazil,2020-06-28,1001.0,
Brazil,2020-06-29,1001.0,
Brazil,2020-06-30,1001.0,
Brazil,2020-07-01,1001.0,
Brazil,2020-07-02,1001.0,
Brazil,2020-07-03,1001.0,
Brazil,2020-07-04,1001.0,
Brazil,2020-07-05,1030.43,
Brazil,2020-07-06,1030.43,
Brazil,2020-07-07,1030.43,
Brazil,2020-07-08,1030.43,
Brazil,2020-07-09,1030.43,
Brazil,2020-07-10,1030.43,
Brazil,2020-07-11,1030.43,
Brazil,2020-07-12,1032.0,
Brazil,2020-07-13,1032.0,
Brazil,2020-07-14,1032.0,
Brazil,2020-07-15,1032.0,
Brazil,2020-07-16,1032.0,
Brazil,2020-07-17,1032.0,
Brazil,2020-07-18,1032.0,
Brazil,2020-07-19,1064.71,
Brazil,2020-07-20,1064.71,
Brazil,2020-07-21,1064.71,
Brazil,2020-07-22,1064.71,
Brazil,2020-07-23,1064.71,
Brazil,2020-07-24,1064.71,
Brazil,2020-07-25,1064.71,
Brazil,2020-07-26,1055.29,
Brazil,2020-07-27,1055.29,
Brazil,2020-07-28,1055.29,
Brazil,2020-07-29,1055.29,
Brazil,2020-07-30,1055.29,
Brazil,2020-07-31,1055.29,
Brazil,2020-08-01,1055.29,
Brazil,2020-08-02,1033.86,
Brazil,2020-08-03,1033.86,
Brazil,2020-08-04,1033.86,
Brazil,2020-08-05,1033.86,
Brazil,2020-08-06,1033.86,
Brazil,2020-08-07,1033.86,
Brazil,2020-08-08,1033.86,
Brazil,2020-08-09,1013.86,
Brazil,2020-08-10,1013.86,
Brazil,2020-08-11,1013.86,
Brazil,2020-08-12,1013.86,
Brazil,2020-08-13,1013.86,
Brazil,2020-08-14,1013.86,
Brazil,2020-08-15,1013.86,
Brazil,2020-08-16,993.0,
Brazil,2020-08-17,993.0,
Brazil,2020-08-18,993.0,
Brazil,2020-08-19,993.0,
Brazil,2020-08-20,993.0,
Brazil,2020-08-21,993.0,
Brazil,2020-08-22,993.0,
Brazil,2020-08-23,976.43,
Brazil,2020-08-24,976.43,
Brazil,2020-08-25,976.43,
Brazil,2020-08-26,976.43,
Brazil,2020-08-27,976.43,
Brazil,2020-08-28,976.43,
Brazil,2020-08-29,976.43,
Brazil,2020-08-30,878.0,
Brazil,2020-08-31,878.0,
Brazil,2020-09-01,878.0,
Brazil,2020-09-02,878.0,
Brazil,2020-09-03,878.0,
Brazil,2020-09-04,878.0,
Brazil,2020-09-05,878.0,
Brazil,2020-09-06,859.57,
Brazil,2020-09-07,859.57,
Brazil,2020-09-08,859.57,
Brazil,2020-09-09,859.57,
Brazil,2020-09-10,859.57,
Brazil,2020-09-11,859.57,
Brazil,2020-09-12,859.57,
Brazil,2020-09-13,696.43,
Brazil,2020-09-14,696.43,
Brazil,2020-09-15,696.43,
